time,X,Y,Z,Vx,Vy,Vz
0.000000,397.398514,1000.000000,-768.205008,-115.518592,0.000000,221.710295
0.009997,396.247550,999.999511,-765.996004,-114.733757,-0.097742,220.204597
0.019995,395.104380,999.998048,-763.801953,-113.959340,-0.194828,218.718893
0.029992,393.968900,999.995617,-761.622657,-113.195204,-0.291269,217.252915
0.039990,392.841009,999.992226,-759.457919,-112.441212,-0.387079,215.806403
0.049987,391.720606,999.987880,-757.307546,-111.697229,-0.482270,214.379096
0.059985,390.607592,999.982585,-755.171349,-110.963069,-0.576855,212.970638
0.069982,389.501870,999.976348,-753.049141,-110.238475,-0.670846,211.580537
0.079980,388.403345,999.969173,-750.940741,-109.523183,-0.764253,210.208286
0.089977,387.311924,999.961068,-748.845970,-108.817032,-0.857088,208.853574
0.099975,386.227518,999.952038,-746.764657,-108.119864,-0.949361,207.516101
0.109972,385.150038,999.942088,-744.696630,-107.431529,-1.041084,206.195576
0.119970,384.079396,999.931223,-742.641721,-106.751923,-1.132268,204.891799
0.129967,383.015505,999.919450,-740.599764,-106.080952,-1.222923,203.604595
0.139965,381.958281,999.906773,-738.570596,-105.418412,-1.313060,202.333567
0.149962,380.907640,999.893197,-736.554058,-104.764005,-1.402684,201.078144
0.159960,379.863501,999.878728,-734.549993,-104.117460,-1.491806,199.837809
0.169957,378.825786,999.863370,-732.558251,-103.478736,-1.580436,198.612482
0.179955,377.794416,999.847128,-730.578684,-102.847810,-1.668583,197.402117
0.189952,376.769318,999.830008,-728.611146,-102.224612,-1.756258,196.206582
0.199950,375.750412,999.812014,-726.655489,-101.608946,-1.843468,195.025499
0.209947,374.737624,999.793150,-724.711568,-101.000654,-1.930221,193.858567
0.219945,373.730882,999.773420,-722.779244,-100.399569,-2.016525,192.705464
0.229942,372.730113,999.752831,-720.858381,-99.805510,-2.102388,191.565842
0.239940,371.735249,999.731385,-718.948844,-99.218302,-2.187814,190.439366
0.249937,370.746221,999.709087,-717.050503,-98.637902,-2.272814,189.325955
0.259935,369.762961,999.685941,-715.163228,-98.064275,-2.357397,188.225539
0.269932,368.785404,999.661952,-713.286891,-97.497346,-2.441570,187.137976
0.279930,367.813482,999.637123,-711.421365,-96.936955,-2.525341,186.062958
